Claim Frequency (Lambda),Mean Annual Loss,VaR 95%,VaR 99%,ES 99%
5,8691.974686733225,19613.884560244434,25883.054514801745,29612.907943184902
10,17425.16867962207,32279.673333949293,40436.50170360748,44895.18402968696
15,26064.791265399905,43879.54487254151,53291.53233075775,58845.64564377021
20,34773.97224606034,55060.34336811671,65644.20638550619,71580.48475984098
